Media,Experiment,Treatment,Initial Density Bin,Days of Incubation,E. huxleyi per mL,MCP qPCR standard plate,EhVs per mL (from MCP qPCR),% Sytox Positive,% Lysotracker Positive,% Elevated UVAutofluorescence Positive,Fv/Fm
f/2,I,10:1 Co-incubation,to the fifth,1,370692,P,293779596,,,,
f/2,I,10:1 Co-incubation,to the fifth,1,328928,P,9999,,,,
f/2,I,10:1 Co-incubation,to the fifth,1,349406,P,234822478,,,,
f/2,I,10:1 Co-incubation,to the first,1,57,P,9999,,,,
f/2,I,10:1 Co-incubation,to the first,1,57,P,9999,,,,
f/2,I,10:1 Co-incubation,to the first,1,96,P,9999,,,,
f/2,I,10:1 Co-incubation,to the fourth,1,39112,P,524573,,,,
f/2,I,10:1 Co-incubation,to the fourth,1,38856,P,9999,,,,
f/2,I,10:1 Co-incubation,to the fourth,1,45718,P,9999,,,,
f/2,I,10:1 Co-incubation,to the second,1,335,P,9999,,,,
f/2,I,10:1 Co-incubation,to the second,1,418,P,9999,,,,
f/2,I,10:1 Co-incubation,to the second,1,495,P,9999,,,,
f/2,I,10:1 Co-incubation,to the third,1,4933,P,9999,,,,
f/2,I,10:1 Co-incubation,to the third,1,4728,P,9999,,,,
f/2,I,10:1 Co-incubation,to the third,1,4640,P,9999,,,,
f/2,I,Preinfected,to the fifth,1,402525,P,235706,,,,
f/2,I,Preinfected,to the fifth,1,401523,P,44116321,,,,
f/2,I,Preinfected,to the fifth,1,480142,P,9999,,,,
f/2,I,Preinfected,to the first,1,100,P,9999,,,,
f/2,I,Preinfected,to the first,1,47,P,9999,,,,
f/2,I,Preinfected,to the first,1,87,P,9999,,,,
f/2,I,Preinfected,to the fourth,1,41453,P,9999,,,,
f/2,I,Preinfected,to the fourth,1,41886,P,9999,,,,
f/2,I,Preinfected,to the fourth,1,47094,P,9999,,,,
f/2,I,Preinfected,to the second,1,469,P,9999,,,,
f/2,I,Preinfected,to the second,1,412,P,9999,,,,
f/2,I,Preinfected,to the second,1,477,P,9999,,,,
f/2,I,Preinfected,to the third,1,4463,P,9999,,,,
f/2,I,Preinfected,to the third,1,3945,P,9999,,,,
f/2,I,Preinfected,to the third,1,4704,P,9999,,,,
f/2,I,Preinfected with added viruses,to the fifth,1,382951,P,163830083,,,,
f/2,I,Preinfected with added viruses,to the fifth,1,340987,P,432934,,,,
f/2,I,Preinfected with added viruses,to the fifth,1,356067,P,79744663,,,,
f/2,I,Preinfected with added viruses,to the first,1,64,P,9999,,,,
f/2,I,Preinfected with added viruses,to the first,1,50,P,9999,,,,
f/2,I,Preinfected with added viruses,to the first,1,36,P,9999,,,,
f/2,I,Preinfected with added viruses,to the fourth,1,38695,P,1069114,,,,
f/2,I,Preinfected with added viruses,to the fourth,1,31436,P,9999,,,,
f/2,I,Preinfected with added viruses,to the fourth,1,34943,P,1370026,,,,
f/2,I,Preinfected with added viruses,to the second,1,419,P,9999,,,,
f/2,I,Preinfected with added viruses,to the second,1,398,P,9999,,,,
f/2,I,Preinfected with added viruses,to the second,1,392,P,9999,,,,
f/2,I,Preinfected with added viruses,to the third,1,3658,P,9999,,,,
f/2,I,Preinfected with added viruses,to the third,1,3798,P,9999,,,,
f/2,I,Preinfected with added viruses,to the third,1,3184,P,9999,,,,
f/2,I,Uninfected,to the fifth,1,506698,P,9999,,,,
f/2,I,Uninfected,to the fifth,1,448170,P,9999,,,,
f/2,I,Uninfected,to the fifth,1,482638,P,9999,,,,
f/2,I,Uninfected,to the first,1,47,P,9999,,,,
f/2,I,Uninfected,to the first,1,47,P,9999,,,,
f/2,I,Uninfected,to the first,1,70,P,9999,,,,
f/2,I,Uninfected,to the fourth,1,44062,P,9999,,,,
f/2,I,Uninfected,to the fourth,1,43100,P,9999,,,,
f/2,I,Uninfected,to the fourth,1,45541,P,9999,,,,
f/2,I,Uninfected,to the second,1,413,P,9999,,,,
f/2,I,Uninfected,to the second,1,412,P,9999,,,,
f/2,I,Uninfected,to the second,1,396,P,9999,,,,
f/2,I,Uninfected,to the third,1,4484,P,9999,,,,
f/2,I,Uninfected,to the third,1,4017,P,9999,,,,
f/2,I,Uninfected,to the third,1,4645,P,9999,,,,
f/2,I,10:1 Co-incubation,to the fifth,2,268465,Q,162850046,,,,
f/2,I,10:1 Co-incubation,to the fifth,2,273887,Q,9999,,,,
f/2,I,10:1 Co-incubation,to the fifth,2,266697,Q,70868767,,,,
f/2,I,10:1 Co-incubation,to the first,2,98,Q,9999,,,,
f/2,I,10:1 Co-incubation,to the first,2,98,Q,9999,,,,
f/2,I,10:1 Co-incubation,to the first,2,183,Q,9999,,,,
f/2,I,10:1 Co-incubation,to the fourth,2,70575,Q,9999,,,,
f/2,I,10:1 Co-incubation,to the fourth,2,67955,Q,9999,,,,
f/2,I,10:1 Co-incubation,to the fourth,2,73073,Q,9999,,,,
f/2,I,10:1 Co-incubation,to the second,2,884,Q,9999,,,,
f/2,I,10:1 Co-incubation,to the second,2,749,Q,9999,,,,
