Days elapsed,Bag,Treatment,E. huxleyi per mL,Extracellular EhVs per mL,#,Days elapsed,Bag,Treatment,Intracellular EhVs (relative MCP transcripts),#,Bag,Treatment,Days elapsed,EhV GSLs (relative units),Sytox (RFU),#
0,1,Redfield nutrients,137,151920,#,7.684210526,1,Redfield nutrients,0.191740413,#,1,Redfield nutrients,0,,,#
1,1,Redfield nutrients,447,65082,#,8.231578947,1,Redfield nutrients,0,#,1,Redfield nutrients,1,,,#
1.5,1,Redfield nutrients,447,682031,#,8.821052632,1,Redfield nutrients,0.707964602,#,1,Redfield nutrients,1.5,,,#
2.25,1,Redfield nutrients,839,68700,#,9.347368421,1,Redfield nutrients,0.840707965,#,1,Redfield nutrients,2.25,,,#
2.5,1,Redfield nutrients,790,397072,#,9.915789474,1,Redfield nutrients,1.622418879,#,1,Redfield nutrients,2.5,,,#
2.75,1,Redfield nutrients,951,97946,#,10.44210526,1,Redfield nutrients,1.401179941,#,1,Redfield nutrients,2.75,,,#
3,1,Redfield nutrients,1222,312256,#,11.55789474,1,Redfield nutrients,3.156342183,#,1,Redfield nutrients,3,0,,#
3.25,1,Redfield nutrients,1599,170011,#,12.12631579,1,Redfield nutrients,3.643067847,#,1,Redfield nutrients,3.25,,,#
3.5,1,Redfield nutrients,2317,471261,#,13.22105263,1,Redfield nutrients,3.539823009,#,1,Redfield nutrients,3.5,,,#
3.75,1,Redfield nutrients,1392,318345,#,13.76842105,1,Redfield nutrients,4.12979351,#,1,Redfield nutrients,3.75,,,#
4,1,Redfield nutrients,2247,396743,#,14.86315789,1,Redfield nutrients,4.144542773,#,1,Redfield nutrients,4,0,,#
4.25,1,Redfield nutrients,3257,249613,#,15.93684211,1,Redfield nutrients,4.542772861,#,1,Redfield nutrients,4.25,,,#
4.5,1,Redfield nutrients,4369,430441,#,6.002164815,3,Redfield nutrients,0.50295858,#,1,Redfield nutrients,4.5,,,#
4.75,1,Redfield nutrients,4592,484592,#,6.510633831,3,Redfield nutrients,0.162721893,#,1,Redfield nutrients,4.75,,,#
5,1,Redfield nutrients,3934,323277,#,8.062084257,3,Redfield nutrients,0,#,1,Redfield nutrients,5,,,#
5.25,1,Redfield nutrients,5444,340069,#,8.638712132,3,Redfield nutrients,0.044378698,#,1,Redfield nutrients,5.25,,,#
