Media,Model,Treatment,Initial Density,Days of incubation,E. huxleyi per mL
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the first,0,10
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the second,0,102
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the third,0,1015
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fourth,0,10153
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fifth,0,101219
f/2,Temperate with autophagy-triggered induction,Uninfected,to the first,0,10
f/2,Temperate with autophagy-triggered induction,Uninfected,to the second,0,102
f/2,Temperate with autophagy-triggered induction,Uninfected,to the third,0,1015
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fourth,0,10153
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fifth,0,101506
f/2,Temperate with autophagy-triggered induction,Preinfected,to the first,0,10
f/2,Temperate with autophagy-triggered induction,Preinfected,to the second,0,102
f/2,Temperate with autophagy-triggered induction,Preinfected,to the third,0,1015
f/2,Temperate with autophagy-triggered induction,Preinfected,to the fourth,0,10153
f/2,Temperate with autophagy-triggered induction,Preinfected,to the fifth,0,99254
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the first,0,10
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the second,0,102
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the third,0,1015
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the fourth,0,10153
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the fifth,0,99254
f/2,Virulent lytic-only,10:1 Co-incubation,to the first,0,10
f/2,Virulent lytic-only,10:1 Co-incubation,to the second,0,102
f/2,Virulent lytic-only,10:1 Co-incubation,to the third,0,1015
f/2,Virulent lytic-only,10:1 Co-incubation,to the fourth,0,10150
f/2,Virulent lytic-only,10:1 Co-incubation,to the fifth,0,101219
f/2,Virulent lytic-only,Uninfected,to the first,0,10
f/2,Virulent lytic-only,Uninfected,to the second,0,102
f/2,Virulent lytic-only,Uninfected,to the third,0,1015
f/2,Virulent lytic-only,Uninfected,to the fourth,0,10153
f/2,Virulent lytic-only,Uninfected,to the fifth,0,101506
f/2,Virulent lytic-only,Preinfected,to the first,0,10
f/2,Virulent lytic-only,Preinfected,to the second,0,99
f/2,Virulent lytic-only,Preinfected,to the third,0,993
f/2,Virulent lytic-only,Preinfected,to the fourth,0,9925
f/2,Virulent lytic-only,Preinfected,to the fifth,0,99254
f/2,Virulent lytic-only,Preinfected with added viruses,to the first,0,10
f/2,Virulent lytic-only,Preinfected with added viruses,to the second,0,99
f/2,Virulent lytic-only,Preinfected with added viruses,to the third,0,993
f/2,Virulent lytic-only,Preinfected with added viruses,to the fourth,0,9925
f/2,Virulent lytic-only,Preinfected with added viruses,to the fifth,0,99254
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the first,0,10
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the second,0,102
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the third,0,1015
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the fourth,0,10153
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the fifth,0,101219
f/2,Temperate with phenomenological induction,Uninfected,to the first,0,10
f/2,Temperate with phenomenological induction,Uninfected,to the second,0,102
f/2,Temperate with phenomenological induction,Uninfected,to the third,0,1015
f/2,Temperate with phenomenological induction,Uninfected,to the fourth,0,10153
f/2,Temperate with phenomenological induction,Uninfected,to the fifth,0,101506
f/2,Temperate with phenomenological induction,Preinfected,to the first,0,10
f/2,Temperate with phenomenological induction,Preinfected,to the second,0,102
f/2,Temperate with phenomenological induction,Preinfected,to the third,0,1015
f/2,Temperate with phenomenological induction,Preinfected,to the fourth,0,10153
f/2,Temperate with phenomenological induction,Preinfected,to the fifth,0,99254
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the first,0,10
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the second,0,102
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the third,0,1015
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the fourth,0,10153
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the fifth,0,99254
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the first,1,28
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the second,1,276
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the third,1,2759
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fourth,1,24956
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fifth,1,67263
f/2,Temperate with autophagy-triggered induction,Uninfected,to the first,1,28
